epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70338,1.25207,2.9852,1.73162,0.00333,1,0.4975,0.34825,0.5475,3.22576,1.3433,8e-05,8e-05,8e-05
2,15.0132,1.11523,2.49982,1.53644,0.00333,1,0.995,0.60099,0.72896,3.33572,1.44129,0.00016218,0.00016218,0.00016218
3,22.0755,1.01163,2.00569,1.40337,0.00333,1,0.995,0.84559,0.70773,2.94901,1.5303,0.00022456,0.00022456,0.00022456
4,29.3874,0.99192,1.87403,1.46524,0.00333,1,0.995,0.84554,0.58063,2.82409,1.14831,0.00026714,0.00026714,0.00026714
5,36.4549,0.87983,1.64743,1.36946,0.00333,1,0.995,0.79559,0.71587,2.85716,1.46171,0.00028992,0.00028992,0.00028992
6,43.2361,0.83319,1.53055,1.30522,0.00333,1,0.995,0.79517,0.71381,2.83974,1.54893,0.0002929,0.0002929,0.0002929
7,50.3039,0.76784,1.47157,1.2147,0.0053,1,0.82833,0.67892,0.95797,2.86054,1.6713,0.00027608,0.00027608,0.00027608
8,57.1279,0.81393,1.51036,1.33162,0.00333,1,0.82833,0.67892,0.92747,2.95105,1.6328,0.00023946,0.00023946,0.00023946
9,63.9605,0.78233,1.40035,1.24265,0.00333,1,0.995,0.79559,0.84816,2.9438,1.56185,0.00018304,0.00018304,0.00018304
10,70.8963,0.76419,1.43797,1.2607,0.00333,1,0.995,0.84513,0.7416,2.82541,1.49758,0.00010682,0.00010682,0.00010682
